DATE,WFRBLT01026
1989-07-01,4668099.0
1989-10-01,4784832.0
1990-01-01,4753565.0
1990-04-01,4852309.0
1990-07-01,4733928.0
1990-10-01,4905608.0
1991-01-01,5092524.0
1991-04-01,5100340.0
1991-07-01,5179404.0
1991-10-01,5413249.0
1992-01-01,5403552.0
1992-04-01,5374600.0
1992-07-01,5426296.0
1992-10-01,5691161.0
1993-01-01,5884321.0
1993-04-01,5987771.0
1993-07-01,6165588.0
1993-10-01,6390291.0
1994-01-01,6485495.0
1994-04-01,6594264.0
1994-07-01,6750066.0
1994-10-01,6909077.0
1995-01-01,7129039.0
1995-04-01,7368988.0
1995-07-01,7664042.0
1995-10-01,7886384.0
1996-01-01,7999036.0
1996-04-01,8116794.0
1996-07-01,8132356.0
1996-10-01,8344135.0
1997-01-01,8325071.0
1997-04-01,8776337.0
1997-07-01,9081793.0
1997-10-01,9257614.0
1998-01-01,9798517.0
1998-04-01,9999047.0
1998-07-01,9566568.0
1998-10-01,10320599.0
1999-01-01,10310735.0
1999-04-01,10686489.0
1999-07-01,10562248.0
1999-10-01,11498265.0
2000-01-01,11773685.0
2000-04-01,11615519.0
2000-07-01,11707483.0
2000-10-01,11317523.0
2001-01-01,11011604.0
2001-04-01,11383457.0
2001-07-01,10818098.0
2001-10-01,11352086.0
2002-01-01,11489306.0
2002-04-01,11255521.0
2002-07-01,10722584.0
2002-10-01,10969125.0
2003-01-01,10919814.0
2003-04-01,11606035.0
2003-07-01,11924417.0
2003-10-01,12611216.0
2004-01-01,13558643.0
2004-04-01,13751358.0
2004-07-01,14186670.0
2004-10-01,14877588.0
2005-01-01,15044191.0
2005-04-01,15563398.0
2005-07-01,16074034.0
2005-10-01,16431951.0
2006-01-01,17310071.0
2006-04-01,17270728.0
2006-07-01,17662820.0
2006-10-01,18205760.0
2007-01-01,18716617.0
2007-04-01,18992400.0
2007-07-01,19374129.0
2007-10-01,19001653.0
2008-01-01,18279286.0
2008-04-01,17929565.0
2008-07-01,17055254.0
2008-10-01,15921352.0
2009-01-01,15309015.0
2009-04-01,15555878.0
2009-07-01,16371492.0
2009-10-01,16402814.0
2010-01-01,16850735.0
2010-04-01,16561245.0
2010-07-01,17342855.0
2010-10-01,18011845.0
2011-01-01,18529763.0
2011-04-01,18694339.0
2011-07-01,17866603.0
2011-10-01,18401285.0
2012-01-01,19229671.0
2012-04-01,19211274.0
2012-07-01,19932350.0
2012-10-01,20157542.0
2013-01-01,21125731.0
2013-04-01,21305081.0
2013-07-01,22056625.0
2013-10-01,22741088.0
2014-01-01,23487845.0
2014-04-01,24336055.0
2014-07-01,24495545.0
2014-10-01,25106404.0
2015-01-01,25662796.0
2015-04-01,25949984.0
2015-07-01,25433826.0
2015-10-01,25940280.0
2016-01-01,26294993.0
2016-04-01,26928836.0
2016-07-01,27441276.0
2016-10-01,27487866.0
2017-01-01,28226082.0
2017-04-01,28862131.0
2017-07-01,29316241.0
2017-10-01,30162179.0
2018-01-01,30295219.0
2018-04-01,30674911.0
2018-07-01,31401398.0
2018-10-01,29449014.0
2019-01-01,31851687.0
2019-04-01,32558592.0
2019-07-01,32531448.0
2019-10-01,33724085.0
2020-01-01,30356274.0
2020-04-01,33304885.0
2020-07-01,34865039.0
2020-10-01,37995831.0
2021-01-01,39711750.0
2021-04-01,41973681.0
2021-07-01,42775837.0
2021-10-01,43967294.0
2022-01-01,43756770.0
2022-04-01,40578210.0
2022-07-01,39533509.0
2022-10-01,40311029.0
2023-01-01,41632037.0
2023-04-01,43239839.0
2023-07-01,42481876.0
2023-10-01,44232500.0
2024-01-01,46088509.0
2024-04-01,46704627.0
